// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14// 빨간포션
IG_VioletBox,502,14// 주홍포션
IG_VioletBox,503,14// 노란포션
IG_VioletBox,504,14// 하얀포션
IG_VioletBox,505,14// 파란포션
IG_VioletBox,506,14// 초록포션
IG_VioletBox,507,14// 빨간허브
IG_VioletBox,508,14// 노란허브
IG_VioletBox,509,14// 하얀허브
IG_VioletBox,510,14// 파란허브
IG_VioletBox,511,14// 초록허브
IG_VioletBox,512,14// 사과
IG_VioletBox,513,14// 바나나
IG_VioletBox,514,14// 포도
IG_VioletBox,515,14// 당근
IG_VioletBox,516,14// 고구마
IG_VioletBox,517,14// 고기
IG_VioletBox,518,14// 꿀
IG_VioletBox,519,14// 우유
IG_VioletBox,520,14// 히나레의 잎사귀
IG_VioletBox,521,14// 알로에의 잎사귀
IG_VioletBox,522,14// 마스테라의 열매
IG_VioletBox,523,14// 성수
IG_VioletBox,525,14// 만능약
IG_VioletBox,526,14// 로얄제리
IG_VioletBox,528,14// 괴물의 먹이
IG_VioletBox,529,14// 사탕
IG_VioletBox,530,14// 막대사탕
IG_VioletBox,531,14// 사과 쥬스
IG_VioletBox,532,14// 바나나 쥬스
IG_VioletBox,533,14// 포도 쥬스
IG_VioletBox,534,14// 당근 쥬스
IG_VioletBox,535,14// 호박
IG_VioletBox,536,14// 아이스 크림
IG_VioletBox,537,14// 펫 푸드
IG_VioletBox,538,14// 잘 구운 쿠키
IG_VioletBox,539,14// 조각 케이크
IG_VioletBox,544,14// 회
IG_VioletBox,545,14// 레드 슬림 포션
IG_VioletBox,546,14// 옐로우 슬림 포션
IG_VioletBox,547,14// 화이트 슬림 포션
IG_VioletBox,548,14// 치즈
IG_VioletBox,549,14// 밤고구마
IG_VioletBox,550,14// 뻥튀기
IG_VioletBox,551,14// 초밥
IG_VioletBox,553,14// 만두
IG_VioletBox,555,14// 떡
IG_VioletBox,558,14// 초콜렛
IG_VioletBox,561,14// 화이트 초콜렛
IG_VioletBox,601,14// 파리의 날개
IG_VioletBox,602,14// 나비의 날개
IG_VioletBox,604,214// 고목나무 가지
IG_VioletBox,605,14// 안티 페인멘트
IG_VioletBox,606,14// 알로에베라
