//
// Structure of Database:
// GroupID,ItemID,Rate
//
// Cookie Bag
IG_CookieBag,529,5// 사탕
IG_CookieBag,530,5// 막대사탕
IG_CookieBag,538,5// 잘 구운 쿠키
IG_CookieBag,539,5// 조각 케이크
IG_CookieBag,558,1// 초콜렛
IG_CookieBag,559,1// 핸드메이드 초콜렛
IG_CookieBag,560,1// 핸드메이드 초콜렛
IG_CookieBag,561,1// 화이트 초콜렛
IG_CookieBag,564,5// 주먹밥
IG_CookieBag,570,5// 행운의 사탕
IG_CookieBag,571,5// 행운의 막대사탕
IG_CookieBag,572,5// 행운의 쿠키
IG_CookieBag,573,1// 초콜렛 드링크
IG_CookieBag,12122,1// 다식
IG_CookieBag,12123,1// 유과
IG_CookieBag,12124,1// 무지개떡
// First Aid Kit
IG_FirstAid,501,5// 빨간포션
IG_FirstAid,502,5// 주홍포션
IG_FirstAid,503,5// 노란포션
IG_FirstAid,504,5// 하얀포션
IG_FirstAid,505,5// 파란포션
IG_FirstAid,506,5// 초록포션
IG_FirstAid,545,5// 레드 슬림 포션
IG_FirstAid,546,5// 옐로우 슬림 포션
IG_FirstAid,547,5// 화이트 슬림 포션
IG_FirstAid,569,5// 초보자용 포션
IG_FirstAid,605,5// 안티 페인멘트
IG_FirstAid,645,5// 집중의 포션
IG_FirstAid,656,5// 각성의 포션
IG_FirstAid,657,5// 버서크 포션
IG_FirstAid,678,1// 독약병
IG_FirstAid,12016,5// 이속변화포션
IG_FirstAid,12017,5// 이속변화포션
IG_FirstAid,12020,5// 암수
// Herbs
IG_Herb,507,1// 빨간허브
IG_Herb,508,1// 노란허브
IG_Herb,509,1// 하얀허브
// Fruits
IG_Fruit,512,1// 사과
IG_Fruit,513,1// 바나나
IG_Fruit,514,1// 포도
IG_Fruit,515,1// 당근
IG_Fruit,516,1// 고구마
// Meat
IG_Meat,517,1// 고기
IG_Meat,528,1// 괴물의 먹이
// Candy
IG_Candy,529,1// 사탕
IG_Candy,530,1// 막대사탕
// Juice
IG_Juice,531,1// 사과 쥬스
IG_Juice,532,1// 바나나 쥬스
IG_Juice,534,1// 당근 쥬스
// Fish
IG_Fish,544,1// 회
IG_Fish,551,1// 초밥
// Boxes
IG_Box,603,1// 오래된 파란상자
IG_Box,617,1// 오래된 보라색 상자
IG_Box,644,1// 선물상자
// Gemstones
IG_Gemstone,715,1// 옐로우 젬스톤
IG_Gemstone,716,1// 레드 젬스톤
IG_Gemstone,717,1// 블루 젬스톤
// Elemental Resist Potions
IG_Resist,12118,1// 레지스트 파이어포션
IG_Resist,12119,1// 레지스트 콜드포션
IG_Resist,12120,1// 레지스트 어스포션
IG_Resist,12121,1// 레지스트 썬더포션
// Ores
IG_Ore,1002,30// 철광석
IG_Ore,998,28// 철
IG_Ore,993,26// 그린 라이브
IG_Ore,1003,24// 석탄
IG_Ore,992,22// 윈드 오브 버듀어
IG_Ore,1010,20// 프라콘
IG_Ore,991,18// 크리스탈 블루
IG_Ore,990,16// 레드 블러드
IG_Ore,999,14// 강철
IG_Ore,1011,12// 엠베르타콘
IG_Ore,757,10// 에르늄 원석
IG_Ore,756,9// 오리데오콘 원석
IG_Ore,997,8// 그레이트 네이쳐
IG_Ore,996,7// 러프 윈드
IG_Ore,995,6// 미스틱 프로즌
IG_Ore,994,5// 프레임 하트
IG_Ore,985,4// 에르늄
IG_Ore,984,3// 오리데오콘
IG_Ore,969,2// 황금
IG_Ore,714,1// 엠펠리움
// Food Types
IG_Food,526,5// 로얄제리
IG_Food,12042,10// 물갈퀴 무침
IG_Food,12057,10// 미끌미끌 국수
IG_Food,12053,10// 조개탕
IG_Food,12062,10// 초콜렛무스 케이크
IG_Food,12068,10// 맛탕
IG_Food,12047,10// 만엽의 홍차
IG_Food,531,30// 사과 쥬스
IG_Food,532,30// 바나나 쥬스
IG_Food,533,30// 포도 쥬스
IG_Food,534,30// 당근 쥬스
IG_Food,538,30// 잘 구운 쿠키
IG_Food,536,50// 아이스 크림
IG_Food,544,50// 회
IG_Food,548,50// 치즈
IG_Food,551,50// 초밥
IG_Food,553,50// 만두
IG_Food,554,50// 찹쌀떡
IG_Food,535,50// 호박
IG_Food,516,100// 고구마
IG_Food,513,100// 바나나
IG_Food,512,600// 사과
// Recovery Types
IG_Recovery,522,5// 마스테라의 열매
IG_Recovery,521,5// 알로에의 잎사귀
IG_Recovery,520,10// 히나레의 잎사귀
IG_Recovery,545,10// 레드 슬림 포션
IG_Recovery,12118,10// 레지스트 파이어포션
IG_Recovery,508,20// 노란허브
IG_Recovery,501,20// 빨간포션
IG_Recovery,511,30// 초록허브
IG_Recovery,507,30// 빨간허브
IG_Recovery,569,50// 초보자용 포션
IG_Recovery,549,50// 밤고구마
IG_Recovery,529,100// 사탕
IG_Recovery,528,200// 괴물의 먹이
IG_Recovery,550,600// 뻥튀기
// Minerals - Unused
IG_Mineral,714,1// 엠펠리움
IG_Mineral,756,1// 오리데오콘 원석
IG_Mineral,757,1// 에르늄 원석
IG_Mineral,969,1// 황금
IG_Mineral,984,1// 오리데오콘
IG_Mineral,985,1// 에르늄
IG_Mineral,990,1// 레드 블러드
