// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).

0,17441,20000
0,25041,20000
0,6697,6000
1,12213,2000
1,6720,2000
1,12208,800
1,14545,1600
1,14592,600
1,12210,500
1,12902,4600
2,17314,4000
2,17264,2000
2,17265,3000
3,14017,2600
3,14018,2600
3,14019,3400
3,14020,3400
3,14021,3400
3,14022,3000
3,14023,2600
3,14055,1800
3,14056,2300
3,14058,1300
3,14062,2300
3,14066,2600
3,14067,3000
3,14070,2600
3,14072,3000
3,14098,2400

4,13071,3800
4,13115,3800
4,13316,3800
4,16019,3800
4,1292,3800
4,1394,3800
4,1491,3800
4,1585,3800
4,2015,3800
4,2149,3800
4,2150,3800
4,2151,3800
4,2459,3800
4,2460,3800
4,2461,3800
4,2561,3800
4,2562,3800
4,2563,3800
4,2828,3800
4,15015,3800
4,15016,3800
4,15017,3800
4,15018,3800
4,15019,3800
4,15020,3800
4,15021,3800
5,12912,2000
5,14349,1200
5,14351,1200
5,13741,1200
5,13744,1200
5,13718,1900
5,13739,1900
5,13720,600
5,14050,2400
5,16666,2500
5,12406,240
5,23204,200
5,13747,1400
5,13750,2600
5,13753,1400
5,13756,2600
5,12913,250
5,12914,250
5,12915,250
5,12916,250
5,12917,250
5,12918,250
5,17224,3000
5,12903,800
5,12904,800
5,12905,800
5,12906,800
5,12907,800
5,12908,800
6,13713,1400
6,13716,2400
6,16655,2500
7,12922,3000
7,17507,1000
7,17508,2400
7,17509,9800
7,16770,1200
7,16771,4900
7,6423,600
7,14103,2300
7,12921,2700
7,12920,2700
7,16394,9500
7,16396,9500
